mountain_id,name,alt_names,elevation_ft,prominence_ft,type,range,state,latitude,longitude,location,accident_count
109,Sandia,,,,unknown,,New Mexico,35.205,-106.4792,Sandia Mountain Wilderness,2
110,Collier,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,2
111,Pitchoff,,,,unknown,,New York,43.2994,-74.2179,Pitchoff Mountain,2
112,Lady,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain National Park,2
113,Maroon Bells,,,,unknown,,Colorado,39.5501,-105.7821,Maroon Bells Mountain,2
114,Louis,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,2
115,Lower Peanuts,,,,unknown,,Colorado,39.9311,-105.2928,Eldorado Canyon,2
116,Lorette,,,,unknown,,Alberta,,,,2
117,Murchison,,,,unknown,,Alberta,51.9167,-116.7833,Rocky Mountain,2
118,Deltaform,,,,unknown,,Alberta,51.3167,-116.2,Rocky Mountain,2
119,Muir,,,,unknown,,California,37.2151,-118.5437,Muir Wall,2
120,Moores,,,,unknown,,North Carolina,36.3956,-80.2628,Hanging Rock State Park,2
121,Neptuak,,,,unknown,,Alberta,51.3167,-116.2333,a party of seven set out on a club outing to traverse some of the ten peaks from west to east in the Valley of the Ten Peak,2
122,Dragontail,,,,unknown,,Washington,47.7511,-120.7401,Dragontail Peak,2
123,Eagle Cliff,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,2
124,Pinnacle,,,,unknown,,Arizona,34.0489,-111.0937,Pinnacle Peak,2
125,Fay,,,,unknown,,Alberta,51.3333,-116.2667,Rocky Mountain,2
126,Joffre,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,2
127,Lemmon,,,,unknown,,Arizona,34.0489,-111.0937,,2
128,Goode,,,,unknown,,Washington,47.7511,-120.7401,Goode Mountain,2
129,Glacier,,,,unknown,,Washington,47.7511,-120.7401,Glacier Peak,2
130,Haddo,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,2
131,Hawksbill,,,,unknown,,Washington,47.7511,-120.7401,Buffalo National River Wilderness,2
132,Katahdin,,,,unknown,,Maine,45.9187,-68.8597,Baxter State Park,2
133,Jackson,,,,unknown,,Montana,48.7596,-113.787,Glacier National Park,2
134,Canyon Spring,,,,unknown,,Arizona,34.0489,-111.0937,Canyon Spring Wall,2
135,Guye,,,,unknown,,Washington,47.7511,-120.7401,Guye Peak,2
136,Eldorado,,,,unknown,,Washington,47.7511,-120.7401,Eldorado Peak,2
137,Granite,,,,unknown,,Arizona,46.8306,-113.4051,Granite Mountain,2
138,Woolley,,,,unknown,,Alberta,52.8734,-117.9543,Jasper National Park,2
139,Yellow,,,,unknown,,Alberta,43.2994,-74.2179,on the Yellow Wall,2
140,Bihedral,,,,unknown,,Colorado,40.015,-105.405,Boulder Canyon,2
141,Ypsilon,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain,2
142,Wiwaxy,,,,unknown,,British Columbia,40.3428,-105.6836,Rocky Mountain,2
143,Baldy,,,,unknown,,California,36.7783,-119.4179,Cimmaron Mountain,2
144,Vice,,,,unknown,,British Columbia,51.45,-116.5,Yoho National Park,1
145,Yukla,,,,unknown,,Alaska,64.2008,-149.4937,Chugach State Park,1
146,Aces High on Casino,,,,unknown,,,,,Cougar Creek Canyon,1
147,Alber-Edward,,,,unknown,,British Columbia,,,,1
148,Alice,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,1
149,An Exum,,,,unknown,,Wyoming,43.076,-107.2903,An Exum Mountain,1
150,Augusta,,,,unknown,,Alaska,64.2008,-149.4937,Elias National Park and in Canada by Kluane National Park,1
151,Avalanche,,,,unknown,,British Columbia,50.2667,-117.2833,Selkirk Mountain,1
152,Cave,,,,unknown,,New Hampshire,43.1939,-71.5724,two climbers were going up Standard on Cathedral when the leader fell from Cave Wall,1
153,Wolf's Head,,,,unknown,,Alaska,64.2008,-149.4937,s Head Peak,1
154,Tinkham,,,,unknown,,Washington,47.7511,-120.7401,Tinkham Peak,1
155,Touchstone,,,,unknown,,Utah,37.2982,-113.0263,Zion National Park,1
156,Town,,,,unknown,,Washington,47.7511,-120.7401,Town Wall,1
157,Transformer,,,,unknown,,Idaho,,,10c on Transformer Wall,1
158,Troopers notified the Alaska,,,,unknown,,Alaska,64.2008,-149.4937,Alaska State Troopers notified the Alaska Mountain,1
159,Tuolumne,,,,unknown,,California,37.8651,-119.5383,Yosemite National Park,1
160,China,,,,unknown,,California,36.7783,-119.4179,China Wall,1
161,Church,,,,unknown,,Idaho,,,one thousand foot climb through the forested bottom of the Jones Creek Canyon,1
162,Cirrus,,,,unknown,,,51.4968,-115.9281,Banff National Park,1
163,Cleaver,,,,unknown,,California,36.7783,-119.4179,Cleaver Peak,1
164,Colchuck,,,,unknown,,Washington,47.7511,-120.7401,Colchuck Peak,1
165,Colin,,,,unknown,,Alberta,52.8734,-117.9543,Jasper National Park,1
166,Back-of-the-Lake,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,1
167,Watchtower,,,,unknown,,,,,Watchtower Peak,1
168,West Face of the North,,,,unknown,,Virginia,,,started soloing a chimney on the West Face of the North Peak,1
169,West Kahiltna,,,,unknown,,,63.1148,-151.1926,LEADER FALL ON ICE Denali National Park,1
170,Fisher,,,,unknown,,,40.3428,-105.6836,Rocky Mountain,1
171,Flagstaff,,,,unknown,,Colorado,39.5501,-105.7821,Flagstaff Mountain,1
172,Flat Top,,,,unknown,,Alaska,64.2008,-149.4937,Chugach State Park,1
173,Foothill,,,,unknown,,California,36.7783,-119.4179,Foothill Crag,1
174,Foreplay,,,,unknown,,,,,Foreplay Wall,1
