mountain_id,name,alt_names,elevation_ft,prominence_ft,type,range,state,latitude,longitude,location,accident_count
mt_9f1ccdd7,Sneffles,,,,unknown,,Colorado,39.5501,-105.7821,,1
mt_4e40fe51,Snoqualmie,,,,unknown,,Washington,47.7511,-120.7401,Snoqualmie Mountain,1
mt_3fb797f2,Thatchtop,,,,unknown,,Colorado,40.3428,-105.6836,Rocky Mountain National Park,1
mt_ff77bbe5,The Flank,,,,unknown,,,,,The Flank Wall,1
mt_886c22ad,Thielsen,,,,unknown,,Oregon,43.8041,-120.5542,,1
mt_2a13baf7,South Maroon,,,,unknown,,Colorado,39.5501,-105.7821,South Maroon Peak,1
mt_7ca863f4,Southwest Ridge of,,,,unknown,,Alaska,63.1148,-151.1926,Denali National Park,1
mt_2a2d595e,Spring,,,,unknown,,Nevada,,,Spring Mountain,1
mt_aa1706b1,Starbuck,,,,unknown,,New York,43.2994,-74.2179,Starbuck Mountain,1
mt_725d67c6,Starlight,,,,unknown,,California,36.7783,-119.4179,Starlight Peak,1
mt_4d585032,Cowbell,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,1
mt_d1d2fe05,Crowder,,,,unknown,,,,,Crowder Mountain State Park,1
mt_6d3fd26c,Crowder's,,,,unknown,,North Carolina,,,s Mountain State Park,1
mt_812b1405,Crowfoot,,,,unknown,,Alberta,40.3428,-105.6836,Rocky Mountain,1
mt_7f367eda,Cutthroat,,,,unknown,,Washington,47.7511,-120.7401,Cutthroat Peak,1
mt_8ae00488,Cerberus,,,,unknown,,Utah,37.2982,-113.0263,Zion National Park,1
mt_f068dca2,Cesaire,,,,unknown,,Quebec,,,plus two instructors from the Quebec Mountain,1
mt_71371678,Chair in the Morning Glory,,,,unknown,,Oregon,44.3672,-121.1406,s Chair in the Morning Glory Wall area of Smith Rock State Park,1
mt_b1ddbd0c,Whitehorse,,,,unknown,,Washington,47.7511,-120.7401,Whitehorse Mountain,1
mt_2df2a5c0,Whiteside,,,,unknown,,,,,Whiteside Mountain,1
mt_dcaacaf6,Whitesides,,,,unknown,,North Carolina,,,Whitesides Mountain,1
